Company,Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
CocaCola,2014-11-30,44.15,45,44.15,44.83,10501972,0,1,40.04140986,40.81230903,40.04140986,40.6581292,10501972
CocaCola,2014-10-31,41.83,41.89,41.4,41.88,18477684,0,1,37.67784275,37.73188699,37.2905257,37.72287962,18477684
CocaCola,2014-09-30,42.1,42.81,42.08,42.66,22600726,0,1,37.92104183,38.56056534,37.90302709,38.42545474,22600726
CocaCola,2014-08-31,41.6,41.75,41.47,41.72,7666700,0,1,37.20020682,37.33434219,37.08395618,37.30751511,7666700
CocaCola,2014-07-31,39.53,39.73,39.25,39.29,15434700,0,1,35.34913884,35.52798599,35.09875283,35.13452226,15434700
CocaCola,2014-06-30,41.98,42.49,41.82,42.36,14068800,0,1,37.54001641,37.99607663,37.39693869,37.87982599,14068800
CocaCola,2014-05-31,40.54,40.925,40.49,40.91,10446100,0,1,35.98081401,36.32251637,35.93643708,36.30920329,10446100
CocaCola,2014-04-30,40.69,40.88,40.59,40.79,12362000,0,1,36.1139448,36.28257713,36.02519094,36.20269866,12362000
CocaCola,2014-03-31,38.99,39.03,38.46,38.66,24489800,0,1,34.60512921,34.64063076,34.13473377,34.31224148,24489800
CocaCola,2014-02-28,38.08,38.3851,38.04,38.2,15763200,0,1,33.53162183,33.80027986,33.49639954,33.63728871,15763200
CocaCola,2014-01-31,37.95,38.16,37.72,37.82,16185000,0,1,33.41714938,33.60206642,33.21462121,33.30267694,16185000
CocaCola,2013-12-31,41.13,41.387,40.98,41.31,11729200,0,1,36.21732159,36.44362481,36.08523799,36.3758219,11729200
CocaCola,2013-11-30,40.27,40.48,40.11,40.19,8641100,0,1,35.46004231,35.64495934,35.31915314,35.38959773,8641100
CocaCola,2013-10-31,39.51,39.86,39.51,39.57,14853500,0,1,34.55011135,34.85617409,34.55011135,34.60257925,14853500
CocaCola,2013-09-30,38.19,38.2956,37.75,37.88,18101500,0,1,33.39581757,33.48816108,33.01105298,33.12473343,18101500
CocaCola,2013-08-31,38.16,38.28,38,38.18,14296600,0,1,33.12827465,33.23245162,32.98937203,33.14563748,14296600
CocaCola,2013-07-31,40.41,40.58,40.06,40.08,13557100,0,1,35.08159273,35.22917677,34.77774325,34.79510608,13557100
CocaCola,2013-06-30,40.25,40.44,40.1,40.11,16316000,0,1,34.94269011,35.10763697,34.81246891,34.82115032,16316000
CocaCola,2013-05-31,40.65,40.77,39.99,39.99,26184400,0,1,35.04698662,35.15044635,34.47795805,34.47795805,26184400
CocaCola,2013-04-30,42.15,42.39,41.88,42.33,13432200,0,1,36.34023335,36.54715283,36.10744894,36.49542296,13432200
CocaCola,2013-03-31,40.38,40.6,40.02,40.44,14227200,0,1,34.8142022,35.00387839,34.50382298,34.86593207,14227200
CocaCola,2013-02-28,38.47,38.97,38.42,38.72,19005500,0,1,32.9285462,33.35652315,32.88574851,33.14253468,19005500
CocaCola,2013-01-31,37.53,37.53,37.11,37.24,12969100,0,1,32.12394955,32.12394955,31.76444891,31.87572292,12969100
CocaCola,2012-12-31,35.88,36.28,35.58,36.25,15651400,0,1,30.71162563,31.05400718,30.45483946,31.02832857,15651400
CocaCola,2012-11-30,37.94,37.98,37.66,37.92,13039500,0,1,32.47489064,32.5091288,32.23522355,32.45777156,13039500
CocaCola,2012-10-31,37.16,37.41,36.92,37.18,11643500,0,1,31.59275903,31.8053045,31.38871537,31.60976266,11643500
CocaCola,2012-09-30,38.17,38.22,37.9,37.93,22721200,0,1,32.45144273,32.49395183,32.22189362,32.24739908,22721200
CocaCola,2012-08-31,37.41,37.58,37.15,37.4,20710300,0,1,31.59077328,31.73432932,31.37121698,31.58232881,20710300
